,id,label,alma,field,award,occupation
246,Q8074621,Zoubin Ghahramani,"'Massachusetts Institute of Technology', 'University of Pennsylvania', 'The American School of Madrid'",'machine learning','Fellow of the Royal Society',artificial intelligence researcher
247,Q17490540,Catherine Havasi,"'Massachusetts Institute of Technology', 'Brandeis University'",,,artificial intelligence researcher
248,Q27576279,Kriti Sharma,'University of St Andrews',,,artificial intelligence researcher
249,Q18686489,Guberman Shelia,,,,artificial intelligence researcher
250,Q21333981,Stephen Falken,,,,artificial intelligence researcher
251,Q24666807,Lola Cañamero,'Complutense University of Madrid',,,artificial intelligence researcher
252,Q23664234,Barney Pell,'Stanford University','computer science','Marshall Scholarship',artificial intelligence researcher
253,Q23713350,Jennifer Healey,'Massachusetts Institute of Technology',,,artificial intelligence researcher
254,Q14948899,Justine Cassell,"'Dartmouth College', 'University of Chicago', 'University of Edinburgh', ""Saint Ann's School""",,"'Fellow of the Royal Society of Edinburgh', 'Anita Borg Institute Women of Vision Awards', 'ACM Fellow'",artificial intelligence researcher
255,Q15499749,Michael Deering,"'University of California, Berkeley'",,,artificial intelligence researcher
256,Q16192619,Selmer Bringsjord,"'Brown University', 'University of Pennsylvania'",,,artificial intelligence researcher
257,Q7418633,Sankar Kumar Pal,"'Imperial College London', 'University of Calcutta'",,"'IEEE Fellow', 'Shanti Swarup Bhatnagar Prize for Science and Technology', 'Jawarharlal Nehru Fellowship', 'G.D. Birla Award for Scientific Research', 'Padma Shri in science & engineering', 'Fellow of the International Association for Pattern Recognition'",artificial intelligence researcher
258,Q7597639,Stan Franklin,"'University of California, Los Angeles'",,,artificial intelligence researcher
259,Q7816669,Tom M. Mitchell,"'Stanford University', 'Massachusetts Institute of Technology'",'machine learning',"'AAAS Fellow', 'IJCAI Computers and Thought Award', 'AAAI Fellow', 'AAAS Fellow'",artificial intelligence researcher
260,Q7925676,Victor Allis,"'Vrije Universiteit Amsterdam', 'Maastricht University'",,,artificial intelligence researcher
261,Q26924676,Anthony Levandowski,"'University of California, Berkeley'",,,artificial intelligence researcher
262,Q9364155,Ruqian Lu,'University of Jena',,,artificial intelligence researcher
263,Q18719196,John D. Lafferty,'Princeton University','computer science',,artificial intelligence researcher
264,Q18719253,Eric P. Xing,"'Tsinghua University', 'University of California, Berkeley', 'Rutgers University'",'machine learning','AAAI Fellow',artificial intelligence researcher
265,Q20652360,Salvatore J. Stolfo,"'New York University', 'Brooklyn College', 'Courant Institute of Mathematical Sciences'",,,artificial intelligence researcher
266,Q22278829,Shane Legg,"'University of Auckland', 'University of Waikato', 'Dalle Molle Institute for Artificial Intelligence Research', 'Rotorua Lakes High School'",'machine learning','Commander of the Order of the British Empire',artificial intelligence researcher
267,Q15995453,Lenhart Schubert,'University of Toronto','artificial intelligence','AAAI Fellow',artificial intelligence researcher
268,Q15994398,Nando de Freitas,"'Trinity College', 'University of the Witwatersrand'",'computer science',,artificial intelligence researcher
269,Q7341095,Robby Garner,,,,artificial intelligence researcher
270,Q8009533,William G. Harless,,,,artificial intelligence researcher
271,Q26709023,Klaus-Robert Müller,'University of Karlsruhe',"'machine learning', 'artificial intelligence'","'Berlin Science Award', 'Forschungspreis Technische Kommunikation'",artificial intelligence researcher
272,Q20675791,Shlomo Zilberstein,"'University of Massachusetts Amherst', 'University of California, Berkeley', 'Technion – Israel Institute of Technology'",,'AAAI Fellow',artificial intelligence researcher
273,Q22279523,Nobuyuki Otsu,"'University of Tokyo', 'Tokyo University'",,,artificial intelligence researcher
274,Q15991498,Pat Ambler,'Newnham College',,,artificial intelligence researcher
275,Q7299101,Raymond Reiter,'University of Michigan','non-monotonic logic',"'IJCAI Award for Research Excellence', 'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
276,Q7325676,Richard Fikes,'Carnegie Mellon University','computer science','AAAI Fellow',artificial intelligence researcher
